model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,200,500,414,25,389,92,0.2365038560411311,0.23642191756891343,0.12765294519587733,0.3799806706613785,0.8447884643536817
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,200,500,414,25,389,92,0.2365038560411311,0.17043504306653534,0.16873700556234886,0.5104044067458927,0.7397160005855657
wiener,sixsource,normalised,fair,truncH,1.0,200,800,373,24,349,147,0.42120343839541546,0.9999972526623708,0.5787910710684894,11.783154342100644,0.4945106755573516
gamma,sixsource,normalised,fair,truncH,1.0,200,800,373,24,349,147,0.42120343839541546,0.999999999,0.5787965604469915,11.994555028433021,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,200,800,373,24,349,147,0.42120343839541546,0.4164419908028476,0.1116070192864376,0.3891873795522159,0.9286556206641073
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,200,800,373,24,349,147,0.42120343839541546,0.254028593362445,0.2588315164358655,0.7414617557573604,0.5913989358119486
wiener,sixsource,normalised,fair,truncH,1.0,200,1000,338,24,314,164,0.5222929936305732,0.9999999958283015,0.4777069997210723,9.779598621229074,0.4940650406504065
gamma,sixsource,normalised,fair,truncH,1.0,200,1000,338,24,314,164,0.5222929936305732,0.999999999,0.4777070054140128,9.899649299198252,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,200,1000,338,24,314,164,0.5222929936305732,0.5203022709842616,0.07760885479682751,0.34948151508411346,0.9580284552845528
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,200,1000,338,24,314,164,0.5222929936305732,0.30164436208931755,0.30246795430770634,0.8503976175630988,0.496260162601626
wiener,sixsource,normalised,fair,truncH,1.0,300,500,403,24,379,82,0.21635883905013192,0.9999968081938474,0.7836347821582134,15.958462881799576,0.4843557526484356
gamma,sixsource,normalised,fair,truncH,1.0,300,500,403,24,379,82,0.21635883905013192,0.999999999,0.7836411593825858,16.239604121516667,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,300,500,403,24,379,82,0.21635883905013192,0.20774908159844027,0.10387477701985842,0.3533965553503312,0.8869179600886917
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,300,500,403,24,379,82,0.21635883905013192,0.12957300081886847,0.16580594352168257,0.5074691530407318,0.729325778106266
wiener,sixsource,normalised,fair,truncH,1.0,300,800,362,23,339,137,0.40412979351032446,0.9999971717040271,0.5958645539908635,12.130740015824859,0.49936763749367635
gamma,sixsource,normalised,fair,truncH,1.0,300,800,362,23,339,137,0.40412979351032446,0.999999999,0.5958702052979351,12.348376710658185,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,300,800,362,23,339,137,0.40412979351032446,0.40052476109616864,0.07232591647224487,0.3475825239184413,0.9568367420683674
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,300,800,362,23,339,137,0.40412979351032446,0.21977137227242352,0.27029133825923424,0.78340434151847,0.5192238201922382
wiener,sixsource,normalised,fair,truncH,1.0,300,1000,327,23,304,154,0.506578947368421,0.9999999957773478,0.4934210457645285,10.101295944209545,0.4992640692640693
gamma,sixsource,normalised,fair,truncH,1.0,300,1000,327,23,304,154,0.506578947368421,0.9999999990000001,0.4934210516447368,10.225295657691614,0.5
cloglog hazard model,sixsource,normalised,fair,truncH,1.0,300,1000,327,23,304,154,0.506578947368421,0.5017918642907393,0.04509238393720494,0.318757813830877,0.9766450216450218
cloglog cumulative-risk (artefact-affected),sixsource,normalised,fair,truncH,1.0,300,1000,327,23,304,154,0.506578947368421,0.26932484274037666,0.31947578995120907,0.9099495144292491,0.4277922077922078
