model,corpus,timescale,variant,window,power,fold,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
gamma,sixsource,normalised,fair,full,1.0,2,200,500,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,200,500,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,200,500,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,200,500,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,200,500,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,200,800,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,200,800,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,200,800,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,200,800,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,200,800,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,200,800,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,200,800,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,200,800,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,200,800,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,200,800,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,200,1000,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,200,1000,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,200,1000,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,200,1000,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,200,1000,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,200,1000,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,200,1000,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,200,1000,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,200,1000,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,200,1000,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,300,500,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,300,500,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,300,500,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,300,500,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,300,500,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,300,500,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,300,500,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,300,500,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,300,500,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,300,500,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,300,800,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,300,800,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,300,800,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,300,800,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,300,800,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,300,800,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,300,800,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
